;;;;;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;;;;;
;;;;;;;;;;;;;;;;;;;;;
;15.30-17.00 ;;;;;;;;;;;;;;;;;;;15.30-17.00 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ПЯТНИЦА     ;08.30-10.00 ;лек. История;Дмитриев Дмитрий Иванович, доцент;316;лек. История;Дмитриев Дмитрий Иванович, доцент;316;лек. История;Дмитриев Дмитрий Иванович, доцент;316;лек. Физическая культура;Бонько Татьяна Ивановна, ст. преподаватель;316;лек. Физическая культура;Бонько Татьяна Ивановна, ст. преподаватель;316;лек. Физическая культура;Бонько Татьяна Ивановна, ст. преподаватель;316;08.30-10.00 ;ПЯТНИЦА     
;;;;;;;;;;;;;;;;;;;;;
;;лек. Физическая культура;Бонько Татьяна Ивановна, ст. преподаватель;316;лек. Физическая культура;Бонько Татьяна Ивановна, ст. преподаватель;316;лек. Физическая культура;Бонько Татьяна Ивановна, ст. преподаватель;316;лек. История;Дмитриев Дмитрий Иванович, доцент;316;лек. История;Дмитриев Дмитрий Иванович, доцент;316;лек. История;Дмитриев Дмитрий Иванович, доцент;316;;
;;;;;;;;;;;;;;;;;;;;;
;10.10-11.40 ;пр. Математический анализ;Кузнецов Павел Александрович, старший преподаватель;319;пр. Математический анализ;Орлов Сергей Сергеевич, доцент;201;пр. История;Дмитриев Дмитрий Иванович, доцент;219;лек. Алгебра;Поплевко Василиса Павловна, доцент;324;лаб. Компьютерная графика;Петухин Вячеслав Алексеевич, доцент;ком.к.123б;лек. Алгебра;Поплевко Василиса Павловна, доцент;324;10.10-11.40 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;11.50-13.20 ;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;пр. История;Дмитриев Дмитрий Иванович, доцент;219;пр. Математический анализ;Орлов Сергей Сергеевич, доцент;319;пр. Алгебра;Поплевко Василиса Павловна, доцент;324;лаб. Компьютерная графика;Петухин Вячеслав Алексеевич, доцент;ком.к.123б;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;11.50-13.20 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;13.50-15.20 ;;;;;;;;;;пр. Математический анализ;Кузнецов Павел Александрович, старший преподаватель;223;пр. История;Дмитриев Дмитрий Иванович, доцент;219;;;;13.50-15.20 ;
;;;;;;;;;;;;;;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;стадион;;
;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;;;;;;;;;;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;спорт. зал;;
;;;;;;;;;;;;;;;;;пр. Элективные курсы по физической культуре;Бонько Татьяна Ивановна, ст. преподаватель;стадион;;
;15.30-17.00 ;;;;;;;;;;;;;;;;;;;15.30-17.00 ;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
СУББОТА     ;08.30-10.00 ;;;;;;;;;;;;;;;;;;;08.30-10.00 ;СУББОТА     
;;;;;;;;;;;;;;;;;;;;;
